GKZ	Gebiet	Wahlberechtigte	StimmenAbgegeben	StimmenGueltig	StimmenUngueltig	ÖVP	SPÖ	FPÖ	NEOS	JETZT	GRÜNE	KPÖ	WANDL	BZÖ	BIER	CPÖ	GILT	SLP
20613	Kleblach-Lind	973	675	658	17	235	215	122	31	11	42	1	1	0	0	0	0	0
20616	Lendorf	1430	897	884	13	308	231	224	54	8	52	5	1	1	0	0	0	0
20618	Mallnitz	627	415	413	2	147	165	51	21	6	20	2	1	0	0	0	0	0
20619	Malta	1653	938	916	22	322	215	273	32	17	52	2	2	1	0	0	0	0
20620	Millstatt am See	2757	1593	1574	19	684	281	299	123	23	147	8	7	2	0	0	0	0
20622	Mörtschach	679	416	411	5	221	36	117	11	2	23	1	0	0	0	0	0	0
20624	Mühldorf	823	508	501	7	109	134	210	18	5	20	1	2	2	0	0	0	0
20625	Oberdrauburg	969	616	601	15	278	120	127	21	13	41	0	1	0	0	0	0	0
20627	Obervellach	1772	1036	1029	7	442	199	249	59	8	62	5	3	2	0	0	0	0
20630	Radenthein	4811	2834	2775	59	934	709	713	174	50	168	14	10	3	0	0	0	0
20631	Rangersdorf	1347	768	757	11	293	147	251	36	3	22	4	1	0	0	0	0	0
20632	Rennweg am Katschberg	1471	979	957	22	461	185	207	52	6	38	4	3	1	0	0	0	0
20633	Sachsenburg	1030	668	660	8	223	167	181	45	6	33	4	1	0	0	0	0	0
20634	Seeboden am Millstätter See	5173	3130	3070	60	1223	537	710	290	40	255	4	7	4	0	0	0	0
20635	Spittal an der Drau	11790	6658	6532	126	2115	1793	1448	431	110	564	30	22	19	0	0	0	0
20636	Stall	1302	793	781	12	287	130	294	27	7	32	0	2	2	0	0	0	0
20637	Steinfeld	1646	1027	1011	16	366	296	236	42	9	55	3	4	0	0	0	0	0
20638	Trebesing	947	590	574	16	266	96	152	36	5	17	2	0	0	0	0	0	0
20639	Weißensee	617	384	380	4	197	39	72	46	2	23	0	0	1	0	0	0	0
20640	Winklern	1004	537	530	7	228	122	133	23	3	20	0	1	0	0	0	0	0
20642	Krems in Kärnten	1438	872	858	14	391	167	228	33	5	28	4	1	1	0	0	0	0
20643	Lurnfeld	2214	1291	1268	23	426	304	326	84	14	104	6	4	0	0	0	0	0
20644	Reißeck	1778	1137	1117	20	351	329	279	47	18	87	2	2	2	0	0	0	0
20699	Wahlkarten - Spittal an der Drau	0	7840	7764	76	2761	1739	1402	727	111	944	29	41	10	0	0	0	0
20700	Villach-Land	51393	38059	37353	706	12241	10706	7634	2433	603	3295	194	188	59	0	0	0	0
20701	Afritz am See	1196	725	708	17	166	232	206	41	12	41	5	3	2	0	0	0	0
20702	Arnoldstein	5215	3242	3177	65	995	1148	651	137	36	180	10	15	5	0	0	0	0
20703	Arriach	1133	657	640	17	204	128	224	37	7	37	2	1	0	0	0	0	0
20705	Bad Bleiberg	1798	1010	991	19	258	382	196	49	21	64	12	7	2	0	0	0	0
20707	Feistritz an der Gail	503	336	330	6	154	80	56	8	4	27	0	0	1	0	0	0	0
20708	Feld am See	889	552	538	14	196	120	154	35	5	23	2	3	0	0	0	0	0
20710	Ferndorf	1762	1160	1134	26	315	340	312	57	20	72	10	5	3	0	0	0	0
20711	Finkenstein am Faaker See	7036	4459	4374	85	1579	1170	795	331	88	372	14	22	3	0	0	0	0
20712	Fresach	1024	713	693	20	189	185	216	42	6	47	4	1	3	0	0	0	0
20713	Hohenthurn	646	422	416	6	167	134	55	27	2	27	3	0	1	0	0	0	0
20719	Nötsch im Gailtal	1839	1231	1213	18	401	364	247	81	19	85	11	4	1	0	0	0	0
20720	Paternion	4773	3086	3012	74	1075	845	614	175	49	215	24	13	2	0	0	0	0
20721	Rosegg	1485	913	891	22	300	226	199	58	18	81	4	5	0	0	0	0	0
20722	St. Jakob im Rosental	3440	2119	2088	31	580	836	318	94	40	200	9	8	3	0	0	0	0
20723	Stockenboi	1309	876	843	33	269	206	257	44	6	49	5	6	1	0	0	0	0
20724	Treffen am Ossiacher See	3606	2071	2030	41	669	464	464	168	35	195	17	13	5	0	0	0	0
20725	Velden am Wörther See	6947	4130	4061	69	1516	989	759	299	86	364	20	17	11	0	0	0	0
20726	Weißenstein	2438	1614	1589	25	469	506	358	94	25	119	10	6	2	0	0	0	0
20727	Wernberg	4354	2780	2730	50	899	735	623	168	48	223	10	16	8	0	0	0	0
20799	Wahlkarten - Villach-Land	0	5963	5895	68	1840	1616	930	488	76	874	22	43	6	0	0	0	0
20800	Völkermarkt	33234	24335	23823	512	8599	7251	4114	1193	368	2019	121	85	73	0	0	0	0
20801	Bleiburg	3019	1837	1799	38	694	557	269	67	34	154	13	5	6	0	0	0	0
20802	Diex	631	447	433	14	161	107	119	12	5	25	2	1	1	0	0	0	0
20803	Eberndorf	4710	2894	2839	55	987	946	541	112	39	176	18	10	10	0	0	0	0
20804	Eisenkappel-Vellach	1796	1157	1127	30	314	515	129	43	37	71	14	1	3	0	0	0	0
20805	Feistritz ob Bleiburg	1704	1137	1103	34	357	334	190	67	19	124	4	5	3	0	0	0	0
20806	Gallizien	1434	946	921	25	393	256	152	33	10	66	6	2	3	0	0	0	0
20807	Globasnitz	1289	821	797	24	217	271	133	37	8	118	6	5	2	0	0	0	0
20808	Griffen	2776	1797	1757	40	812	369	370	74	17	98	4	7	6	0	0	0	0
20810	Neuhaus	868	490	480	10	193	118	110	22	4	25	5	1	2	0	0	0	0
20812	Ruden	1241	768	737	31	259	261	152	20	10	31	1	0	3	0	0	0	0
20813	St. Kanzian am Klopeiner See	3453	2159	2118	41	801	547	374	147	35	187	11	11	5	0	0	0	0
20815	Sittersdorf	1628	982	957	25	305	341	147	36	22	98	2	3	3	0	0	0	0
20817	Völkermarkt	8685	5323	5208	115	1851	1592	997	292	62	352	18	21	23	0	0	0	0
20899	Wahlkarten - Völkermarkt	0	3577	3547	30	1255	1037	431	231	66	494	17	13	3	0	0	0	0
20900	Wolfsberg	43039	30595	30051	544	11206	8012	6785	1491	347	1950	114	75	71	0	0	0	0
20901	Bad St. Leonhard im Lavanttal	3582	2284	2255	29	903	628	470	106	23	106	9	6	4	0	0	0	0
20905	Frantschach-St. Gertraud	2030	1290	1267	23	530	343	284	38	13	44	9	3	3	0	0	0	0
20909	Lavamünd	2392	1486	1458	28	487	481	368	47	16	47	8	1	3	0	0	0	0
20911	Preitenegg	782	537	532	5	251	98	140	19	4	14	0	4	2	0	0	0	0
20912	Reichenfels	1494	1002	979	23	420	240	207	46	9	54	2	1	0	0	0	0	0
20913	St. Andrä	8237	4972	4883	89	1730	1297	1358	207	44	205	17	16	9	0	0	0	0
20914	St. Georgen im Lavanttal	1652	1052	1023	29	339	274	329	22	8	40	2	3	6	0	0	0	0
20918	St. Paul im Lavanttal	2727	1671	1648	23	605	403	444	82	14	92	3	1	4	0	0	0	0
20923	Wolfsberg	20143	12317	12064	253	4561	3157	2525	663	154	895	47	30	32	0	0	0	0
20999	Wahlkarten - Wolfsberg	0	3984	3942	42	1380	1091	660	261	62	453	17	10	8	0	0	0	0
21000	Feldkirchen	23915	16874	16559	315	5895	3900	4056	1074	237	1206	80	80	31	0	0	0	0
21001	Albeck	791	488	475	13	159	85	178	24	6	22	1	0	0	0	0	0	0
21002	Feldkirchen in Kärnten	11446	6609	6483	126	2248	1557	1602	421	89	483	29	34	20	0	0	0	0
21003	Glanegg	1539	883	868	15	276	302	168	46	17	53	3	1	2	0	0	0	0
21004	Gnesau	824	533	522	11	190	121	145	31	12	22	1	0	0	0	0	0	0
21005	Himmelberg	1845	1151	1117	34	430	216	323	67	16	51	7	5	2	0	0	0	0
21006	Ossiach	576	356	348	8	135	45	90	29	9	33	5	2	0	0	0	0	0
21007	Reichenau	1431	866	841	25	314	225	223	40	4	26	2	5	2	0	0	0	0
21008	St. Urban	1191	691	680	11	229	140	246	20	8	34	2	0	1	0	0	0	0
21009	Steindorf am Ossiacher See	2952	1734	1706	28	625	381	407	107	25	133	17	10	1	0	0	0	0
21010	Steuerberg	1320	771	755	16	339	156	177	35	11	33	1	2	1	0	0	0	0
21099	Wahlkarten - Feldkirchen	0	2792	2764	28	950	672	497	254	40	316	12	21	2	0	0	0	0
30000	Niederösterreich	1292902	1042486	1027276	15210	434783	204679	168565	78760	17751	112607	5347	4784	0	0	0	0	0
30099	Wahlkarten - Niederösterreich (ungültig nicht zuordenbar)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3A000	Weinviertel	172337	140786	138728	2058	64232	24416	21454	10545	2204	14642	661	574	0	0	0	0	0
3A099	Wahlkarten - Weinviertel	0	705	701	4	196	97	105	86	29	176	5	7	0	0	0	0	0
3B000	Waldviertel	177574	145186	142608	2578	72307	23217	22976	8926	1824	12211	596	551	0	0	0	0	0
3B099	Wahlkarten - Waldviertel	0	589	583	6	169	78	67	79	27	156	3	4	0	0	0	0	0
3C000	Mostviertel	194417	160052	157299	2753	71693	30382	25571	10028	2247	15786	801	791	0	0	0	0	0
3C099	Wahlkarten - Mostviertel	0	485	475	10	104	64	44	86	21	144	5	7	0	0	0	0	0
3D000	Niederösterreich Mitte	240310	194916	192157	2759	76469	38740	28950	16476	3747	25691	1094	990	0	0	0	0	0
3D099	Wahlkarten - Niederösterreich Mitte	0	949	942	7	254	122	101	166	34	250	6	9	0	0	0	0	0
3E000	Niederösterreich Süd	159888	124823	122953	1870	48568	27673	24190	7967	2120	11110	726	599	0	0	0	0	0
3E099	Wahlkarten - Niederösterreich Süd	0	462	457	5	140	61	72	50	16	112	2	4	0	0	0	0	0
3F000	Thermenregion	197030	158496	156819	1677	56373	32309	23223	17225	3465	22625	839	760	0	0	0	0	0
3F099	Wahlkarten - Thermenregion	0	1052	1045	7	278	158	155	198	24	221	6	5	0	0	0	0	0
3G000	Niederösterreich Ost	151346	118227	116712	1515	45141	27942	22201	7593	2144	10542	630	519	0	0	0	0	0
3G099	Wahlkarten - Niederösterreich Ost	0	603	596	7	165	115	127	56	26	100	5	2	0	0	0	0	0
30100	Krems an der Donau Stadt	18070	13703	13531	172	5263	2850	2014	1127	249	1853	105	70	0	0	0	0	0
30101	Krems an der Donau	18070	11430	11271	159	4401	2478	1779	852	208	1406	87	60	0	0	0	0	0
30199	Wahlkarten - Krems an der Donau Stadt	0	2273	2260	13	862	372	235	275	41	447	18	10	0	0	0	0	0
30200	Sankt Pölten Stadt	39559	30076	29650	426	9216	8755	4451	2176	636	4009	226	181	0	0	0	0	0
30201	St. Pölten	39559	25632	25245	387	7929	7449	3963	1731	548	3284	194	147	0	0	0	0	0
30299	Wahlkarten - Sankt Pölten Stadt	0	4444	4405	39	1287	1306	488	445	88	725	32	34	0	0	0	0	0
30300	Waidhofen an der Ybbs Stadt	8910	7353	7245	108	3288	1231	880	592	158	1026	39	31	0	0	0	0	0
30301	Waidhofen an der Ybbs	8910	6067	5968	99	2814	976	776	441	126	783	27	25	0	0	0	0	0
30399	Wahlkarten - Waidhofen an der Ybbs Stadt	0	1286	1277	9	474	255	104	151	32	243	12	6	0	0	0	0	0
30400	Wiener Neustadt Stadt	31417	22376	22122	254	7016	5537	4523	1653	482	2616	176	119	0	0	0	0	0
30401	Wiener Neustadt	31417	19229	19001	228	5937	4845	4058	1373	415	2115	156	102	0	0	0	0	0
30499	Wahlkarten - Wiener Neustadt Stadt	0	3147	3121	26	1079	692	465	280	67	501	20	17	0	0	0	0	0
30500	Amstetten	90724	74542	73289	1253	32612	14458	11935	4807	1044	7686	377	370	0	0	0	0	0
30501	Allhartsberg	1715	1286	1256	30	652	196	176	71	17	138	2	4	0	0	0	0	0
30502	Amstetten	17357	11537	11348	189	4016	2882	2207	697	197	1205	78	66	0	0	0	0	0
30503	Ardagger	2819	2164	2109	55	1123	243	377	149	30	165	9	13	0	0	0	0	0
30504	Aschbach-Markt	2937	1962	1936	26	1008	230	347	129	30	165	8	19	0	0	0	0	0
30506	Behamberg	2686	2022	1983	39	859	363	366	118	29	230	7	11	0	0	0	0	0
30507	Biberbach	1838	1392	1375	17	765	151	227	77	23	118	8	6	0	0	0	0	0
30508	Ennsdorf	2288	1581	1556	25	405	607	270	74	23	169	5	3	0	0	0	0	0
30509	Ernsthofen	1862	1282	1260	22	523	350	173	73	24	102	4	11	0	0	0	0	0
30510	Ertl	1020	725	709	16	442	46	153	27	6	31	3	1	0	0	0	0	0
30511	Euratsfeld	2115	1719	1690	29	1002	144	252	122	12	145	9	4	0	0	0	0	0
30512	Ferschnitz	1467	1088	1072	16	612	93	180	60	16	104	5	2	0	0	0	0	0
30514	Haag	4513	2970	2912	58	1368	533	405	193	52	328	14	19	0	0	0	0	0
30515	Haidershofen	2964	2183	2142	41	859	500	373	136	34	217	12	11	0	0	0	0	0
30516	Hollenstein an der Ybbs	1354	972	954	18	507	243	91	42	11	58	2	0	0	0	0	0	0
30517	Kematen an der Ybbs	1931	1408	1369	39	461	445	251	62	31	101	9	9	0	0	0	0	0
30520	Neuhofen an der Ybbs	2301	1690	1659	31	903	176	302	136	10	122	5	5	0	0	0	0	0
30521	Neustadtl an der Donau	1701	1317	1293	24	754	180	226	53	15	57	4	4	0	0	0	0	0
30522	Oed-Oehling	1510	986	968	18	475	116	176	69	14	114	1	3	0	0	0	0	0
30524	Opponitz	695	538	526	12	255	102	79	31	9	46	2	2	0	0	0	0	0
30526	St. Georgen am Reith	442	350	348	2	197	62	58	12	2	16	0	1	0	0	0	0	0
30527	St. Georgen am Ybbsfelde	2249	1548	1531	17	778	220	286	99	8	129	6	5	0	0	0	0	0
30529	St. Pantaleon-Erla	2115	1477	1444	33	532	400	241	75	13	163	11	9	0	0	0	0	0
30530	St. Peter in der Au	4113	2891	2829	62	1435	360	483	194	34	298	13	12	0	0	0	0	0
30531	St. Valentin	7434	5138	5047	91	1494	1632	804	352	89	619	37	20	0	0	0	0	0
30532	Seitenstetten	2680	1919	1877	42	928	226	305	127	25	243	11	12	0	0	0	0	0
30533	Sonntagberg	3090	2139	2097	42	751	677	321	120	34	178	11	5	0	0	0	0	0
30534	Strengberg	1621	1156	1135	21	603	197	173	66	14	75	2	5	0	0	0	0	0
30536	Viehdorf	1074	812	802	10	461	95	133	51	8	48	4	2	0	0	0	0	0
30538	Wallsee-Sindelburg	1721	1078	1060	18	510	200	177	62	16	86	7	2	0	0	0	0	0
30539	Weistrach	1848	1315	1287	28	738	144	208	73	8	101	7	8	0	0	0	0	0
30541	Winklarn	1371	1010	990	20	446	167	179	80	12	94	7	5	0	0	0	0	0
30542	Wolfsbach	1586	1171	1148	23	710	99	177	71	11	71	5	4	0	0	0	0	0
30543	Ybbsitz	2818	2155	2132	23	1225	247	306	107	22	201	13	11	0	0	0	0	0
30544	Zeillern	1489	1075	1059	16	629	109	172	54	16	71	0	8	0	0	0	0	0
30599	Wahlkarten - Amstetten	0	10486	10386	100	4186	2023	1281	945	149	1678	56	68	0	0	0	0	0
30600	Baden	107228	83964	82876	1088	29345	19269	14303	7256	1752	10100	466	385	0	0	0	0	0
30601	Alland	1995	1273	1260	13	554	207	230	109	22	131	3	4	0	0	0	0	0
30602	Altenmarkt an der Triesting	1529	1083	1066	17	531	166	185	58	26	89	8	3	0	0	0	0	0
30603	Bad Vöslau	8743	5836	5756	80	1937	1326	854	541	146	896	29	27	0	0	0	0	0
30604	Baden	18857	12159	12031	128	4545	2033	1582	1361	286	2105	73	46	0	0	0	0	0
30605	Berndorf	6427	4120	4038	82	1207	1237	806	255	100	402	16	15	0	0	0	0	0
30607	Ebreichsdorf	8168	5355	5293	62	1799	1243	1177	408	109	513	20	24	0	0	0	0	0
30608	Enzesfeld-Lindabrunn	3306	2335	2286	49	807	582	447	161	62	204	19	4	0	0	0	0	0
30609	Furth an der Triesting	675	516	508	8	304	45	74	28	10	39	6	2	0	0	0	0	0
30612	Günselsdorf	1295	904	887	17	269	302	187	42	17	61	3	6	0	0	0	0	0
30613	Heiligenkreuz	1121	811	801	10	364	96	134	89	19	93	1	5	0	0	0	0	0
30614	Hernstein	1270	1006	993	13	481	163	160	83	27	69	4	6	0	0	0	0	0
30615	Hirtenberg	1639	1099	1082	17	259	376	263	47	20	98	15	4	0	0	0	0	0
30616	Klausen-Leopoldsdorf	1358	847	835	12	350	139	189	73	19	62	1	2	0	0	0	0	0
30618	Kottingbrunn	5610	3808	3762	46	1317	931	684	291	69	421	32	17	0	0	0	0	0
30620	Leobersdorf	3573	2336	2305	31	763	580	445	196	53	236	15	17	0	0	0	0	0
30621	Mitterndorf an der Fischa	1960	1273	1250	23	326	397	344	73	23	70	9	8	0	0	0	0	0
30623	Oberwaltersdorf	3445	2224	2200	24	881	419	369	235	58	214	10	14	0	0	0	0	0
30625	Pfaffstätten	2642	1931	1917	14	727	340	239	206	49	331	13	12	0	0	0	0	0
30626	Pottendorf	5290	3493	3441	52	1215	849	750	246	73	281	18	9	0	0	0	0	0
30627	Pottenstein	2163	1431	1412	19	473	411	250	85	37	140	9	7	0	0	0	0	0
30629	Reisenberg	1319	947	928	19	360	219	223	55	14	51	3	3	0	0	0	0	0
30631	Schönau an der Triesting	1607	1071	1052	19	415	276	163	63	12	114	5	4	0	0	0	0	0
30633	Seibersdorf	1203	869	853	16	412	140	172	53	9	63	2	2	0	0	0	0	0
30635	Sooß	778	569	560	9	286	67	78	42	12	65	1	9	0	0	0	0	0
30636	Tattendorf	1101	850	842	8	372	139	141	91	14	82	2	1	0	0	0	0	0
30637	Teesdorf	1403	1049	1033	16	365	315	164	58	22	100	7	2	0	0	0	0	0
30639	Traiskirchen	13405	9462	9322	140	2738	2908	1767	686	176	941	59	47	0	0	0	0	0
30641	Trumau	2642	1894	1865	29	552	651	349	126	21	153	8	5	0	0	0	0	0
30645	Weissenbach an der Triesting	1298	898	881	17	354	190	172	54	18	76	10	7	0	0	0	0	0
30646	Blumau-Neurißhof	1406	871	859	12	281	203	229	43	20	69	4	10	0	0	0	0	0
30699	Wahlkarten - Baden	0	11644	11558	86	4101	2319	1476	1398	209	1931	61	63	0	0	0	0	0
30700	Bruck an der Leitha	72905	56460	55713	747	20492	13728	10395	3837	1069	5621	310	261	0	0	0	0	0
30701	Au am Leithaberge	767	582	570	12	319	63	130	29	6	22	1	0	0	0	0	0	0
30702	Bad Deutsch-Altenburg	1187	803	794	9	327	158	198	30	19	57	5	0	0	0	0	0	0
30703	Berg	492	387	383	4	178	107	49	19	8	21	0	1	0	0	0	0	0
30704	Bruck an der Leitha	5803	3849	3808	41	1304	1074	665	234	62	439	16	14	0	0	0	0	0
30706	Enzersdorf an der Fischa	2578	1812	1787	25	685	388	391	117	34	151	13	8	0	0	0	0	0
30708	Göttlesbrunn-Arbesthal	1132	863	852	11	483	101	144	65	5	50	0	4	0	0	0	0	0
30709	Götzendorf an der Leitha	1528	1146	1122	24	422	311	184	79	27	90	5	4	0	0	0	0	0
30710	Hainburg a.d. Donau	3735	2336	2305	31	986	486	485	121	45	159	11	12	0	0	0	0	0
30711	Haslau-Maria Ellend	1475	1029	1020	9	410	229	176	83	20	94	6	2	0	0	0	0	0
30712	Höflein	988	750	737	13	391	99	148	42	8	45	3	1	0	0	0	0	0
30713	Hof am Leithaberge	1188	931	915	16	422	163	207	42	12	67	0	2	0	0	0	0	0
30715	Hundsheim	474	374	367	7	146	106	74	9	7	23	1	1	0	0	0	0	0
30716	Mannersdorf am Leithagebirge	2932	2091	2055	36	592	718	342	122	34	217	15	15	0	0	0	0	0
30718	Petronell-Carnuntum	955	687	682	5	248	201	110	38	14	61	3	7	0	0	0	0	0
30719	Prellenkirchen	1185	851	839	12	451	139	142	37	13	48	4	5	0	0	0	0	0
30721	Rohrau	1214	879	868	11	368	174	167	58	16	77	5	3	0	0	0	0	0
30722	Scharndorf	927	703	688	15	370	112	92	34	15	64	1	0	0	0	0	0	0
30724	Sommerein	1613	1175	1161	14	378	343	250	52	21	98	10	9	0	0	0	0	0
30726	Trautmannsdorf an der Leitha	2353	1658	1631	27	728	319	271	114	23	158	9	9	0	0	0	0	0
30728	Wolfsthal	568	424	419	5	215	84	79	15	5	16	2	3	0	0	0	0	0
30729	Ebergassing	2722	1710	1690	20	520	508	357	98	34	158	12	3	0	0	0	0	0
30730	Fischamend	4074	2411	2373	38	757	557	516	175	61	252	41	14	0	0	0	0	0
30731	Gramatneusiedl	2315	1477	1456	21	459	425	267	98	29	166	6	6	0	0	0	0	0
30732	Himberg	5577	3606	3550	56	1249	923	709	252	55	336	13	13	0	0	0	0	0
30733	Klein-Neusiedl	632	416	412	4	114	162	76	30	3	21	4	2	0	0	0	0	0
30734	Lanzendorf	1388	897	888	9	292	264	138	72	24	88	3	7	0	0	0	0	0
30735	Leopoldsdorf	3943	2654	2627	27	1019	524	451	244	57	314	11	7	0	0	0	0	0
30736	Maria-Lanzendorf	1625	1037	1021	16	357	237	231	75	22	90	8	1	0	0	0	0	0
30737	Moosbrunn	1326	927	915	12	384	208	147	53	28	86	3	6	0	0	0	0	0
30738	Rauchenwarth	572	410	396	14	189	68	38	45	10	42	3	1	0	0	0	0	0
30739	Schwadorf	1560	970	953	17	313	311	185	71	11	56	6	0	0	0	0	0	0
30740	Schwechat	12751	7685	7581	104	2247	2081	1596	473	158	944	48	34	0	0	0	0	0
30741	Zwölfaxing	1326	856	847	9	276	204	202	53	20	82	5	5	0	0	0	0	0
30799	Wahlkarten - Bruck an der Leitha	0	8074	8001	73	2893	1881	1178	758	163	1029	37	62	0	0	0	0	0
30800	Gänserndorf	78441	61164	60403	761	24484	14099	11679	3700	1049	4821	315	256	0	0	0	0	0
30801	Aderklaa	150	109	108	1	67	5	17	5	3	9	2	0	0	0	0	0	0
30802	Andlersdorf	105	74	74	0	42	9	6	8	0	8	0	1	0	0	0	0	0
30803	Angern an der March	2544	1753	1734	19	601	561	358	85	24	91	6	8	0	0	0	0	0
30804	Auersthal	1471	1112	1099	13	447	293	150	68	22	112	2	5	0	0	0	0	0
30805	Bad Pirawarth	1312	891	875	16	407	211	134	47	11	62	1	2	0	0	0	0	0
30808	Deutsch-Wagram	6618	4368	4309	59	1469	928	914	338	98	501	33	28	0	0	0	0	0
30810	Drösing	927	628	623	5	256	175	122	27	9	29	4	1	0	0	0	0	0
30811	Dürnkrut	1800	1232	1217	15	449	332	301	53	11	64	3	4	0	0	0	0	0
30812	Ebenthal	686	524	512	12	216	105	119	28	8	35	1	0	0	0	0	0	0
30813	Eckartsau	954	684	677	7	354	103	138	34	9	34	3	2	0	0	0	0	0
30814	Engelhartstetten	1577	1097	1085	12	500	214	234	50	17	59	6	5	0	0	0	0	0
30817	Gänserndorf	8239	5295	5229	66	1848	1340	1018	331	110	530	25	27	0	0	0	0	0
30819	Glinzendorf	214	147	146	1	60	31	37	5	3	9	1	0	0	0	0	0	0
30821	Groß-Enzersdorf	8484	5518	5453	65	2118	1227	976	445	116	528	26	17	0	0	0	0	0
30822	Großhofen	65	56	56	0	41	3	5	4	2	1	0	0	0	0	0	0	0
30824	Groß-Schweinbarth	1016	781	761	20	389	184	97	36	9	44	1	1	0	0	0	0	0
30825	Haringsee	915	652	643	9	329	136	100	31	8	31	6	2	0	0	0	0	0
30826	Hauskirchen	1020	699	687	12	383	116	125	28	9	20	3	3	0	0	0	0	0
30827	Hohenau an der March	2130	1342	1325	17	395	520	287	39	18	56	8	2	0	0	0	0	0
30828	Hohenruppersdorf	756	584	575	9	332	86	79	30	6	38	3	1	0	0	0	0	0
30829	Jedenspeigen	916	680	671	9	346	179	84	20	10	26	4	2	0	0	0	0	0
30830	Lassee	2106	1522	1502	20	625	305	382	83	27	70	6	4	0	0	0	0	0
30831	Leopoldsdorf im Marchfelde	2089	1457	1437	20	504	426	297	70	21	109	8	2	0	0	0	0	0
30834	Mannsdorf an der Donau	271	198	196	2	87	32	41	16	0	20	0	0	0	0	0	0	0
30835	Marchegg	2092	1407	1394	13	485	420	310	45	22	87	16	9	0	0	0	0	0
30836	Markgrafneusiedl	719	512	504	8	185	123	118	35	6	31	3	3	0	0	0	0	0
30838	Matzen-Raggendorf	2104	1512	1490	22	663	335	249	109	22	99	8	5	0	0	0	0	0
30841	Neusiedl an der Zaya	1002	684	677	7	359	95	154	33	6	27	3	0	0	0	0	0	0
30842	Obersiebenbrunn	1324	871	866	5	299	218	211	39	12	75	5	7	0	0	0	0	0
30844	Orth an der Donau	1634	997	979	18	427	182	211	64	13	71	6	5	0	0	0	0	0
30845	Palterndorf-Dobermannsdorf	1045	731	721	10	370	101	179	35	12	16	7	1	0	0	0	0	0
30846	Parbasdorf	132	111	111	0	72	6	17	10	1	5	0	0	0	0	0	0	0
30848	Prottes	1093	738	726	12	319	162	139	42	9	55	0	0	0	0	0	0	0
30849	Raasdorf	429	319	314	5	182	65	24	19	3	20	1	0	0	0	0	0	0
30850	Ringelsdorf-Niederabsdorf	1030	710	697	13	274	273	98	23	10	18	0	1	0	0	0	0	0
30852	Schönkirchen-Reyersdorf	1515	1082	1074	8	444	247	204	73	15	81	6	4	0	0	0	0	0
30854	Spannberg	788	608	597	11	322	64	134	33	11	25	4	4	0	0	0	0	0
30856	Strasshof an der Nordbahn	7505	4763	4717	46	1504	1237	1098	294	101	418	35	30	0	0	0	0	0
30857	Sulz im Weinviertel	997	722	710	12	406	108	123	27	11	32	2	1	0	0	0	0	0
30858	Untersiebenbrunn	1334	946	935	11	314	271	247	39	16	45	2	1	0	0	0	0	0
30859	Velm-Götzendorf	632	494	486	8	244	79	103	22	10	24	2	2	0	0	0	0	0
30860	Weikendorf	1551	1076	1063	13	409	243	220	71	22	85	10	3	0	0	0	0	0
30863	Zistersdorf	4409	2982	2923	59	1582	467	510	139	32	175	6	12	0	0	0	0	0
30865	Weiden an der March	741	534	526	8	322	72	77	15	9	26	3	2	0	0	0	0	0
30899	Wahlkarten - Gänserndorf	0	7962	7899	63	3037	1810	1232	652	155	920	44	49	0	0	0	0	0
30900	Gmünd	30485	24207	23720	487	11106	5552	3789	1182	308	1607	88	88	0	0	0	0	0
30902	Amaliendorf-Aalfang	919	555	538	17	157	182	134	21	8	32	4	0	0	0	0	0	0
30903	Brand-Nagelberg	1306	870	848	22	269	363	124	25	17	43	3	4	0	0	0	0	0
30904	Eggern	576	409	401	8	199	66	88	14	6	25	2	1	0	0	0	0	0
30906	Eisgarn	553	374	368	6	211	70	54	16	2	14	0	1	0	0	0	0	0
30908	Gmünd	4144	2626	2584	42	1055	756	416	124	50	167	9	7	0	0	0	0	0
30909	Großdietmanns	1860	1322	1289	33	668	254	206	58	13	80	5	5	0	0	0	0	0
30910	Bad Großpertholz	1101	697	675	22	353	125	100	39	10	39	8	1	0	0	0	0	0
30912	Großschönau	991	754	742	12	461	46	125	34	12	60	1	3	0	0	0	0	0
30913	Moorbad Harbach	599	427	417	10	179	77	77	37	8	35	4	0	0	0	0	0	0
30915	Haugschlag	387	269	262	7	137	48	53	9	2	13	0	0	0	0	0	0	0
30916	Heidenreichstein	3360	2033	1986	47	879	548	317	89	23	115	6	9	0	0	0	0	0
30917	Hirschbach	496	357	354	3	162	99	52	19	1	21	0	0	0	0	0	0	0
30920	Hoheneich	1200	770	757	13	338	179	121	46	7	58	5	3	0	0	0	0	0
30921	Kirchberg am Walde	1089	771	754	17	436	120	126	27	7	36	1	1	0	0	0	0	0
30925	Litschau	1927	1155	1140	15	613	230	180	48	18	46	3	2	0	0	0	0	0
30929	Reingers	523	374	370	4	227	48	61	13	0	20	1	0	0	0	0	0	0
30932	St. Martin	915	633	615	18	339	108	94	25	9	37	1	2	0	0	0	0	0
30935	Schrems	4457	2841	2777	64	1118	885	448	129	33	153	6	5	0	0	0	0	0
30939	Unserfrau-Altweitra	831	606	585	21	358	70	86	27	10	28	4	2	0	0	0	0	0
30940	Waldenstein	999	697	678	19	427	77	96	32	5	38	2	1	0	0	0	0	0
